path,sha256,kind,api_version,namespace,name,parse_status,parse_error,spec_keys,test_nodes,risk_flags,shape_issues,placeholder_count
raw_yaml\DNSChaos\786ea8d8ec6ec8c40e213a33.yaml,cc55e788644cf96cca7392a81525039176340c943624a14f1e7ef1ad44d19532,DNSChaos,chaos-mesh.org/v1alpha1,sentinelrag-chaos,api-keycloak-dns,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_error"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\797467be5c89ab1d77e629be.yaml,4ff8326538e5240c9196ecd64af646aae10a49d6f246b76e7a8ba410524d3e90,DNSChaos,chaos-mesh.org/v1alpha1,default,dns-chaos,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_error"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\859aec334c0341ed88a5aa79.yaml,a3b421a00fc61d9b96b90df9334cb9bdf7421eb74dde1871fdee70256474ef13,DNSChaos,chaos-mesh.org/v1alpha1,chaos-testing,dns-failure-test,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_error"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\85b302cc0a1979c6bb42437a.yaml,bee271eac53a5b927afa9669ded1fb795b7556117b831ea89d72d62c9727a672,DNSChaos,chaos-mesh.org/v1alpha1,,dns-chaos-random,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_random"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\87409370f55f7653d5b1725a.yaml,4b40de81fe427437e6d3fe956ede6ff66aaa6e9dd41b5372f3d465df20ecfde0,DNSChaos,chaos-mesh.org/v1alpha1,chaos-mesh,authelia-dns-failure-test,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""scheduler"", ""selector""]","[""dns_error"", ""selector""]","[""temporal_or_composite""]",[],0
raw_yaml\DNSChaos\88e2a31a7d44dc643c5d5a79.yaml,635b3dcc3eff3c761b0f690ef7714e13300e62bb49d7dbf7a79e72df9cd35bf1,DNSChaos,chaos-mesh.org/v1alpha1,chaos-production,dns-failure,valid_map,,"[""action"", ""mode"", ""patterns"", ""selector""]","[""dns_error"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\8970672562df17f57b49580d.yaml,d91663018ad982d8f936744090e9cd946b7cac2a53aaaf7e04084eb5cce9bdfc,DNSChaos,chaos-mesh.org/v1alpha1,chaos-mesh,ms-primary-dns-error,valid_map,,"[""action"", ""duration"", ""mode"", ""selector""]","[""dns_error"", ""selector""]","[""cloud_instance""]",[],0
raw_yaml\DNSChaos\89c878a5f185e3578109b375.yaml,3033d5bf0e7b998b99f12d8011c5159b24b9b1ee42dcdb6aaaddff37ecd4470b,DNSChaos,chaos-mesh.org/v1alpha1,chaos-mesh,mssql-dns-error-all,valid_map,,"[""action"", ""duration"", ""mode"", ""selector""]","[""dns_error"", ""selector""]","[""cloud_instance"", ""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\8cf8ea13e68d59fefe4c789b.yaml,0b47a4929c09be126567cec70d471e78db2f65c6e231ea5b990927625b0ed32e,DNSChaos,chaos-mesh.org/v1alpha1,chaos-mesh,dns-chaos-error,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_error"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\8dbcc3af504db0c50e64f49b.yaml,7dbaa42a4ea869876547a7b6ebeade6222609c6de3affe01c5081aad97a1d91a,DNSChaos,chaos-mesh.org/v1alpha1,default,dns-error-demo,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_error"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\90fbfa7c66b66818ce362b25.yaml,ac4860fe9afc271bc5aeac4441f72915af5163d686276c2a9457890352dbab49,DNSChaos,chaos-mesh.org/v1alpha1,chaos-testing,dns-chaos,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_error"", ""selector""]",[],[],0
raw_yaml\DNSChaos\910c85226f30ae523863d46b.yaml,500b60d5bd6beee6fc9c2120bcce82cc4a5e502c1173c6070a2f7cae875d0d94,DNSChaos,chaos-mesh.org/v1alpha1,chaos-testing,dns-chaos-test,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_error"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\962a4b4065b6f18041c01fac.yaml,2c7ea90ae2bf531bfb2045b85cd18b98f67d9848587703d12c3c9c9d17aa1c3c,DNSChaos,chaos-mesh.org/v1alpha1,chaos-testing,dns-error-inject,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_error"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\a4087b168f4d51f76fc9397a.yaml,c2f93aab1bbc2eb2c02b04d3d41f2d9d20591514ac738de67d6e3afe76f1461d,DNSChaos,chaos-mesh.org/v1alpha1,nutrition,,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_random"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\af6f2eaa4d057304a901acf5.yaml,473b26692093181328a82458b5b89c3269dbd31ef5944b696aa4ab4cf75d9c87,DNSChaos,chaos-mesh.org/v1alpha1,chaos-demo,dns-random-experiment,valid_map,,"[""action"", ""duration"", ""mode"", ""selector""]","[""dns_random"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\b142da8e7f0a06df2dced737.yaml,a8b592628bcee8f8aa31880a36327a0defca88e3499bfb69cf6f7c3827ee3860,DNSChaos,chaos-mesh.org/v1alpha1,backend,dns-random-error,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_error"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\b33f19342261e5ae718b37f1.yaml,9b83e58da3391f582af22c33e74619160d0e2fd3006419e654a8e94d4e3a4803,DNSChaos,chaos-mesh.org/v1alpha1,nutrition,,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_error"", ""selector""]","[""namespace_or_selector_blast_radius""]",[],0
raw_yaml\DNSChaos\b4758b8efd0e43adf6a0a93e.yaml,9f87ff0adba690cb1ad1b6d43a6aa334ac5de38546297caa70111baaf5ed2750,DNSChaos,chaos-mesh.org/v1alpha1,kafka-cluster,kafka-dns-error,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_error"", ""selector""]",[],[],0
raw_yaml\DNSChaos\b64ef1bb5f9277bc747d497f.yaml,f4c05992bb76ea19f0fb82cc7cf45655ff015f651851909fe2ce61e3403127cf,DNSChaos,chaos-mesh.org/v1alpha1,llmchat,dns-error,valid_map,,"[""action"", ""duration"", ""mode"", ""patterns"", ""selector""]","[""dns_error"", ""selector""]",[],[],0
